"UF";"Município";"Cargo";"Candidato";"Nr";"Partido";"Situação";"QtVN";"%VV";
"SP";"AREIÓPOLIS";"Prefeito";"JOSÉ PIO DE OLIVEIRA";"13";"PT";"Eleito";"3.350";"51,25"
"SP";"ARIRANHA";"Prefeito";"JOAMIR ROBERTO BARBOZA";"14";"PTB";"Eleito";"4.178";"68,48"
"SP";"ARTUR NOGUEIRA";"Prefeito";"MARCELO CAPELINI";"13";"PT";"Eleito";"8.423";"39,39"
"SP";"ARUJÁ";"Prefeito";"ABEL JOSE LARINI";"22";"PR";"Eleito";"24.500";"59,65"
"SP";"ASPÁSIA";"Prefeito";"ELIAS ROZ CANOS";"45";"PSDB";"Eleito";"1.012";"69,32"
"SP";"ASSIS";"Prefeito";"ÉZIO SPERA";"25";"DEM";"Eleito";"40.348";"83,60"
"SP";"ATIBAIA";"Prefeito";"JOSÉ BERNARDO DENIG";"43";"PV";"Eleito";"28.856";"45,55"
"SP";"AURIFLAMA";"Prefeito";"JOSE JACINTO ALVES FILHO";"45";"PSDB";"Eleito";"5.136";"56,82"
"SP";"AVAÍ";"Prefeito";"PAULO SERGIO RODRIGUES";"45";"PSDB";"Eleito";"1.160";"34,08"
"SP";"AVANHANDAVA";"Prefeito";"SUELI NAVARRO JORGE";"45";"PSDB";"Eleito";"3.122";"70,33"
"SP";"AVARÉ";"Prefeito";"JOSELYR BENEDITO SILVESTRE";"45";"PSDB";"Eleito";"26.470";"61,96"
"SP";"BADY BASSITT";"Prefeito";"EDMUR PRADELA";"15";"PMDB";"Eleito";"3.997";"46,33"
"SP";"BALBINOS";"Prefeito";"JOSE MARCIO RIGOTTO";"15";"PMDB";"Eleito";"674";"54,05"
"SP";"BÁLSAMO";"Prefeito";"JOSÉ SOLER PANTANO";"40";"PSB";"Eleito";"4.591";"100,00"
"SP";"BANANAL";"Prefeito";"DAVID LUIZ AMARAL DE MORAIS";"40";"PSB";"Eleito";"2.548";"40,87"
"SP";"BARÃO DE ANTONINA";"Prefeito";"FRANCISCO NERES DE MEIRA";"45";"PSDB";"Eleito";"1.396";"73,20"
"SP";"BARBOSA";"Prefeito";"MÁRIO DE SOUSA LIMA";"45";"PSDB";"Eleito";"1.283";"36,04"
"SP";"BARIRI";"Prefeito";"BENEDITO SENAFONDE MAZOTTI";"45";"PSDB";"Eleito";"8.664";"51,33"
"SP";"BARRA BONITA";"Prefeito";"JOSE CARLOS DE MELLO TEIXEIRA";"23";"PPS";"Eleito";"8.062";"34,69"
"SP";"BARRA DO CHAPÉU";"Prefeito";"EDUARDO VICENTE VALETE FILLIETAZ";"15";"PMDB";"Eleito";"2.233";"63,10"
"SP";"BARRA DO TURVO";"Prefeito";"ROSÂNGELA ROSÁRIA DA SILVA";"10";"PRB";"Eleito";"2.084";"41,58"
"SP";"BARRETOS";"Prefeito";"EMANOEL MARIANO CARVALHO";"14";"PTB";"Eleito";"47.032";"73,90"
"SP";"BARRINHA";"Prefeito";"ANA CRISTINA DE SOUZA MARCARI";"23";"PPS";"Eleito";"6.659";"91,52"
"SP";"BARUERI";"Prefeito";"RUBENS FURLAN";"15";"PMDB";"Eleito";"97.923";"68,69"
"SP";"BASTOS";"Prefeito";"VIRGINIA PEREIRA DA SILVA FERNANDES";"45";"PSDB";"Eleito";"4.995";"37,90"
"SP";"BATATAIS";"Prefeito";"JOSE LUIS ROMAGNOLI";"14";"PTB";"Eleito";"25.027";"81,12"
"SP";"BAURU";"Prefeito";"CAIO MARCIO VIOTTO COUBE";"45";"PSDB";"2º turno";"71.920";"40,39"
"SP";"BAURU";"Prefeito";"RODRIGO ANTONIO DE AGOSTINHO MENDONÇA";"15";"PMDB";"2º turno";"57.431";"32,25"
"SP";"BEBEDOURO";"Prefeito";"JOAO BATISTA BIANCHINI";"43";"PV";"Eleito";"17.647";"41,24"
"SP";"BENTO DE ABREU";"Prefeito";"TEREZINHA DO CARMO SALESSE";"14";"PTB";"Eleito";"942";"51,25"
"SP";"BERNARDINO DE CAMPOS";"Prefeito";"MOACIR APARECIDO BENETI";"14";"PTB";"Eleito";"3.438";"52,34"
"SP";"BERTIOGA";"Prefeito";"JOSÉ MAURO DEDEMO ORLANDINI";"25";"DEM";"Eleito";"12.223";"44,79"
